KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
565423,BdÌn,51,34,34,"2,94 %","0,00 %","0,00 %","20,58 %","0,00 %","2,94 %","2,94 %","2,94 %","0,00 %","0,00 %","0,00 %","0,00 %","8,82 %","0,00 %","0,00 %","2,94 %","44,11 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11,76 %","0,00 %"
541672,Branov,170,120,119,"8,40 %","0,84 %","0,00 %","11,76 %","0,00 %","0,00 %","19,32 %","0,00 %","0,84 %","0,84 %","0,00 %","0,00 %","10,92 %","0,00 %","0,00 %","1,68 %","33,61 %","0,00 %","0,00 %","4,20 %","0,00 %","0,84 %","0,00 %","0,00 %","5,88 %","0,84 %"
565041,B¯eûany,106,71,69,"8,69 %","0,00 %","0,00 %","5,79 %","1,44 %","5,79 %","17,39 %","0,00 %","1,44 %","1,44 %","0,00 %","0,00 %","13,04 %","0,00 %","0,00 %","2,89 %","28,98 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,89 %","0,00 %","8,69 %","1,44 %"
541699,»ist·,724,388,387,"10,85 %","0,00 %","0,00 %","8,52 %","0,00 %","6,71 %","17,31 %","1,29 %","1,80 %","0,77 %","0,00 %","0,00 %","7,75 %","0,00 %","0,00 %","2,32 %","29,45 %","0,00 %","0,00 %","4,65 %","0,00 %","0,00 %","0,25 %","0,00 %","7,49 %","0,77 %"
565181,DÏkov,160,63,63,"11,11 %","3,17 %","0,00 %","11,11 %","0,00 %","7,93 %","22,22 %","3,17 %","0,00 %","0,00 %","0,00 %","1,58 %","4,76 %","0,00 %","0,00 %","4,76 %","15,87 %","0,00 %","0,00 %","3,17 %","0,00 %","0,00 %","1,58 %","0,00 %","9,52 %","0,00 %"
529711,Drahouö,64,41,41,"4,87 %","0,00 %","0,00 %","2,43 %","0,00 %","19,51 %","17,07 %","0,00 %","0,00 %","0,00 %","2,43 %","0,00 %","4,87 %","0,00 %","0,00 %","0,00 %","41,46 %","0,00 %","0,00 %","2,43 %","0,00 %","0,00 %","0,00 %","0,00 %","4,87 %","0,00 %"
541729,Ho¯esedly,331,183,183,"5,46 %","0,00 %","0,00 %","7,65 %","0,00 %","4,91 %","21,85 %","2,18 %","0,54 %","2,73 %","0,00 %","0,00 %","3,82 %","0,00 %","0,00 %","1,09 %","34,42 %","0,00 %","0,54 %","1,09 %","0,00 %","0,00 %","0,00 %","0,00 %","12,02 %","1,63 %"
541737,Ho¯oviËky,385,170,168,"5,35 %","1,19 %","0,00 %","11,90 %","0,00 %","1,19 %","11,90 %","0,00 %","1,78 %","0,00 %","0,00 %","0,59 %","4,16 %","0,00 %","1,78 %","1,78 %","45,83 %","0,00 %","0,59 %","0,59 %","0,00 %","0,59 %","1,19 %","0,00 %","9,52 %","0,00 %"
565202,Hracholusky,66,49,49,"10,20 %","0,00 %","0,00 %","4,08 %","0,00 %","8,16 %","10,20 %","4,08 %","0,00 %","0,00 %","0,00 %","0,00 %","22,44 %","0,00 %","0,00 %","4,08 %","24,48 %","0,00 %","0,00 %","2,04 %","0,00 %","0,00 %","0,00 %","0,00 %","10,20 %","0,00 %"
541761,H¯ebeËnÌky,220,153,152,"11,84 %","0,00 %","0,00 %","3,94 %","0,65 %","7,89 %","19,73 %","1,31 %","0,65 %","1,31 %","0,00 %","0,00 %","3,94 %","0,00 %","0,65 %","3,94 %","36,18 %","0,00 %","0,00 %","0,65 %","0,65 %","0,65 %","0,00 %","0,00 %","5,92 %","0,00 %"
